fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,0.5719966604051697,0.5981100230821861,0.6296133139106879,73.23267710643393,80.66286528866713,84.06823706932684,0.9999999999999996,0.8598410551305871,0.8031846159198005,0.5693951723504265,0.5983048086502764,0.6286950666818296,73.35104284295451,80.45854122119269,83.94389023947244,True
1,0.5306150433701825,0.6183121379792477,0.6759664040482962,75.08198818831356,80.0695569199091,80.70534810829487,1.0000000000000004,0.821910432321296,0.7652335306035489,0.5279167109318724,0.6206054059254862,0.6775603984020461,75.11767914503324,80.00552437631048,80.73002788815124,True
2,0.5189085392863905,0.6690037253397493,0.5931554131239763,75.553677207381,76.75334820165061,77.89314470272484,0.9999999999999998,0.787225368452698,0.8214131744407079,0.5161179922873429,0.6673735588563899,0.5913605513212254,75.55231389015754,76.75674451777971,77.95796752035663,True
3,0.6420791732257823,0.593395374954755,0.6499957739883201,71.70872477566668,74.40681403366457,71.92721778001638,1.0,1.0119690761481512,1.0498402076223017,0.6415562821585298,0.592838533035364,0.6482959875087102,71.79789639241129,74.53187318326235,71.99773342567525,True
4,0.6500177464230711,0.6551972641702354,0.6542907501712313,71.28354103996563,72.53721974318036,81.69282824942123,1.0,1.0584624823771094,0.8638415944466475,0.6515426217912347,0.6544187398321631,0.6540601303384512,71.30657498925656,72.62728401632074,81.82512020759661,True
5,0.6193013503254222,0.6202339851239446,0.5749691338210717,72.77242684256862,82.23799528250849,80.20030329836978,1.0,0.8512969547772918,0.8515895144765158,0.616399406399935,0.6329633296797759,0.5783649662491352,72.93207889307912,82.29209495574646,80.25717174270189,True
6,0.41818677897525797,0.41943454782624856,0.5498546789244899,78.49330132424687,79.96033743381183,75.75000245018768,1.0,0.8101338523554235,0.7043762037662064,0.4078875205173026,0.4213496102923828,0.5502951692296583,78.77023154960118,80.15261028005396,75.82056785549773,True
7,0.4121525675383431,0.5646057154198739,0.5066904023786633,79.00882150767585,80.54834935652882,79.14683679330435,1.0,0.7219416761880523,0.7687670445363762,0.3989845923012448,0.5698525774082929,0.5094062021711154,79.35251661193004,80.73147159062007,79.13452859604497,True
8,0.40432392231193426,0.5248015340734393,0.5987974320612811,79.21242821191198,78.07329637228794,84.28373592166378,1.0,0.7612663625986509,0.653367229208781,0.3898696110541954,0.5237053120533243,0.5996193327286793,79.49667677615022,78.16824551447156,84.2898635979264,True
9,0.49543400173727214,0.5846623797299102,0.6965952526024023,76.56897710571762,78.66010854816825,81.88343055049216,1.0,0.8287318767098175,0.7418929711213245,0.481807616580958,0.5899638798489032,0.6956960674939551,76.92884087846639,78.54251469923112,81.96659679183377,True
10,0.5805755488648637,0.7108269404376252,0.6373040845109825,73.7520458988345,73.94936540339043,77.09189380114205,1.0,0.847496304564483,0.9537018911878126,0.5692095661760213,0.7143750197767462,0.6397676367780031,73.97510631603879,73.92273897221976,77.09424854300347,True
11,0.6022229011870637,0.6503681594906126,0.6837841009758209,73.11339269113971,74.30851747548991,71.11108334999,1.0,0.9651055686114369,0.9299469109941078,0.5927366250354495,0.6551877120335448,0.6872334985286629,73.14231412812197,74.42069714993515,71.10733559864082,True
12,0.6677473602639304,0.7208450439715174,0.6966460628024541,70.37681897967273,67.97046854377474,69.63454478939335,1.0,0.9555761927995784,1.032242181869744,0.6626994702272105,0.7200383718060087,0.6961401969149605,70.49714059226544,68.01721293444787,69.66608217380883,True
13,0.6825067029641242,0.6697510562157842,0.6690242939385322,69.47619819746781,70.34242395794217,72.30846943929954,1.0,1.0590157597983652,1.0650896637134468,0.6781010576269954,0.667991588440208,0.6706478701021824,69.77414298647425,70.53135561396921,72.49144075882585,True
14,0.6187391455202479,0.6509036503654979,0.6412669721771395,71.93098981567765,73.62669592326661,72.2580919660047,1.0,0.9783314442388912,0.934757649926336,0.6054837723719981,0.6557385543305986,0.6502937102874727,72.36288174686572,73.45506685929675,72.08364800612681,True
15,0.6178704898453499,0.6433534673856415,0.6947765364917253,72.05154959155237,72.76061098887082,69.64320470400229,0.9999999999999998,0.9204846296306278,0.8494106243162053,0.6124896985209027,0.6477974298140781,0.6935297395701813,72.27806137610862,72.66281875484975,69.95257070857107,True
16,0.6359315372544925,0.7023693294255039,0.732414979236796,71.9542944795686,69.2639211198922,81.34295415959252,1.0,0.8624873720539993,0.872187454688943,0.6283138961695126,0.7040334885673685,0.7204760001275732,72.15180422779457,69.32808606658183,81.31409168081494,True
17,0.6521745526072623,0.749478813712026,0.6641753087689111,71.23406947238234,78.98198726066494,70.62447587633477,1.0000000000000002,0.8781146239735856,0.8900910059931818,0.6385516242541228,0.7447179730192736,0.6722335317690762,71.65378956421611,78.84400929933658,70.77989601386481,True
18,0.5516741463780118,0.6107673235712141,0.6144984767121761,74.06710172642939,72.5782384050836,73.75796302050964,1.0,0.8366048189028423,0.8054241995266491,0.5299803267427206,0.6133958837993367,0.6306632077959637,74.64478773436386,72.70106483408281,73.0752796768179,True
19,0.5573576307849663,0.615087343090242,0.6753217636371501,73.54341571748238,73.05184330670942,72.4513899633813,1.0,0.8344166246864245,0.7937501265659304,0.5391020754584334,0.6248338551669244,0.6699670695085969,73.81429076164679,72.47895668155911,72.65975553148692,True
20,0.581704530157474,0.6882794072541092,0.6980807195377983,72.48932745468542,76.60920769672472,76.66205071016286,1.0,0.845933275459312,0.9054295297030968,0.5557294880061564,0.6945848349032575,0.7031045939205434,73.12651423505928,76.41329925577311,76.37406404333281,True
