Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,normalized
OLS,0.8055684332383843,0.8272326794497923,0.8158151528471689,65.03811387217091,65.72695734937302,66.48230853310555,False
NN,0.8327645023778448,0.8603759096939166,0.8250332069458254,66.37200977596329,68.281993240532,68.40096007161452,False
