fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,0.8059119910754825,0.8130544285516206,0.7925485594869288,65.25302982047371,68.19055244195357,65.335013652594,1.0000000000000002,1.0740616499732873,0.9915631922703935,0.8448033442268574,1.1493279224877553,0.7779844977679911,64.35958898369009,66.23698959167334,66.98172652804033,False
1,0.7808388821626315,0.7788338987243654,0.7439448305640471,66.2170081491392,66.31836438860871,68.68109878115337,1.0,0.9944849087008597,0.9470866644944496,0.8103163534484504,0.7461422558289892,0.6145379724189414,68.11773681708112,70.54027119258298,73.69838093505548,False
2,0.7689346509864579,0.7519973011827205,0.8051696301699235,66.36653137683422,67.63106373721992,69.53899865111481,1.0,0.9383039856846516,1.0744285245211864,0.7945279873716359,0.6282243772773917,0.7176426824649005,67.81642210427724,71.42919295192517,73.51424264064111,False
3,0.7493323396455538,0.7957429110069174,0.789694207743868,67.030304567884,68.60759493670886,68.37899543378995,1.0,1.063711108958661,1.0620152297625503,0.7736840331950452,0.7623207683301676,0.821929416591174,69.93517942993417,73.0210970464135,72.14611872146119,False
4,0.8621779628591575,0.9272478304487736,0.8928571156076397,62.49542180441948,62.727272727272734,61.84182015167931,1.0,1.093051454769741,1.0139042993517047,0.8747473688603553,0.92614084482193,0.9785599708557128,63.81394213160786,66.78030303030303,61.23510292524377,False
5,0.8662147727010225,0.8965197067843566,0.8706765735106063,62.866387514274834,60.88689586447435,65.11792452830188,1.0000000000000002,1.0047748718281795,1.0116722279440693,0.8985079271647247,0.9500992894172668,1.039544701576233,64.1891891891892,61.68410563029397,62.83018867924528,False
