Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.22283113495432463,,0.30165908311419354,86.23516643328097,,81.7324899040282,45.653972250816196,,46.80994200942995,-1.3530843112619095e-16,1.0000000000000013,0.7771688650456754,0.0025624590803739206,0.9447734645440078,0.7007371986037921,True
LASSO,0.23526892346013917,,0.30935323338100346,86.1275178915409,,81.45032166794488,45.76642915950727,,48.10872318873172,0.0047405923787096765,1.135193785081248,0.7757334392469846,0.008633123674289265,1.0639222955970373,0.6934829835024603,True
NN,0.21580553789924167,,0.3048479909215593,86.42416469343716,,81.97179470915336,45.656818019011695,,47.53900476110845,-0.003355087435956354,0.9800460683281111,0.7845344279163767,0.006345167200018636,0.9209678628038283,0.7003622540641132,True
