Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std
OLS,0.43121666014642024,,0.3793696758369923,78.07834069592901,0.0,73.28729893147072,False,,,,,,
NN,0.427465068355127,,0.3803105964674807,78.15976730763018,,73.20461406350977,False,,,,,,
