Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.4470898395055774,,0.575162623288809,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-1.5959455978986625e-16,0.9999999999999992,0.5529101604944227,-0.0016089462437427534,0.9638471531305485,0.42546014269818055,True,,,,,,,,,,,,,,,
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-1.5959455978986625e-16,1.0942220014798103,0.5520026770579524,0.0008428121084364188,1.0504439436396018,0.42385252109215454,True,,,,,,,,,,,,,,,
NN,0.45082283840455456,,0.5831825214075146,77.38728417581862,,72.70531785869208,45.40644759051452,,45.35238449348879,-0.05421193341927612,1.0224133603953227,0.5522540523366088,-0.047236168584145734,0.9817497695061876,0.4205171610283637,True,,,,,,,,,,,,,,,
