Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.1884684650679726,,0.25888113715831673,87.41038719612749,,83.1996755306266,45.982028531586224,,46.89082220692996,-1.5265566588595902e-16,1.0000000000000009,0.8115315349320273,0.001462756647501888,0.9542133936744757,0.7428294014895913,True,,,,,,,,,,,,,,,
LASSO,0.20308387770787595,,0.2687852275780538,87.26710501674411,,82.9463279985545,46.104174746257826,,48.32959783482049,0.00334953998377939,1.144763337808786,0.8098670076408943,0.006343598308882325,1.0847524134571072,0.73597724226155,True,,,,,,,,,,,,,,,
NN,0.18320234172551664,,0.2604857401080205,87.6637730056374,,83.34903139740962,48.6684096464543,,51.39783251383031,0.017131027440457896,1.0261724038668525,0.8178971663273228,0.027910257037299005,0.9784057678773355,0.7425749699698951,True,,,,,,,,,,,,,,,
