Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.2590426114364233,,0.3509278513284987,83.93445231704926,,79.28573759822451,47.05868939565953,,48.550414400439266,2.914335439641036e-16,0.9999999999999996,0.7409573885635766,0.00823692030218247,0.9256114219569931,0.6533110078064157,True,,,,,,,,,,,,,,,
LASSO,0.27235235547904973,,0.35658157738124846,83.80054687757745,,79.0083187264458,46.51297621334824,,49.28379854590275,-0.002955567732287896,1.1455094715469927,0.739581232522295,0.00737142693164621,1.051173041621094,0.645358938414034,True,,,,,,,,,,,,,,,
NN,0.2828170310890195,,0.3778942275571722,83.85832998569734,,78.58211118641204,52.15316065353617,,56.86069348958384,0.057674569771984575,1.1585516432414116,0.7368880471518001,0.07324635905156945,1.027977885600948,0.6410271201700957,True,,,,,,,,,,,,,,,
