trial,fold,tr_loss,val_loss,test_loss,tr_mae,val_mae,test_mae,tr_directional_accuracy_pct,val_directional_accuracy_pct,test_directional_accuracy_pct,seconds,model_path
0,0,7.683461831220484e-07,2.9449267913150834e-07,2.0840931824750442e-07,0.0004921990912407637,0.00035823596408590674,0.0003264534752815962,99.99880194664001,99.99878406524658,100.0,77.84683656692505,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_000/model_best.pt
0,1,5.086658916297893e-07,1.4992048136264202e-07,1.3413261967798462e-07,0.0003131057310383767,0.0001917821355164051,0.0001788932568160817,92.02476143836975,84.4841718673706,82.03272223472595,60.36062431335449,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_001/model_best.pt
0,2,3.469958471669088e-07,1.2824131090383162e-07,1.1117908371716112e-07,0.0002881062391679734,0.00023235920525621623,0.00022998804342933,99.99936819076538,99.99942779541016,100.0,49.970107316970825,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_002/model_best.pt
0,3,9.253260202513047e-08,7.521786216102555e-08,1.739994530680633e-07,0.00015934740076772869,0.00015316694043576717,0.0001956960477400571,99.99940991401672,100.0,99.99999403953552,58.33021855354309,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_003/model_best.pt
0,4,6.794436302470785e-08,1.3096732232042996e-07,1.8648477180249756e-06,0.0001494889729656279,0.00019027848611585796,0.0002679154567886144,83.33315849304199,83.33333134651184,83.33333134651184,48.73622488975525,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_004/model_best.pt
0,5,9.26427006220365e-08,1.7171863646581187e-06,1.601346610868859e-07,0.00017314974684268236,0.00027394609060138464,0.0002335896424483508,99.99983310699463,100.0,99.99973177909851,33.28559160232544,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_005/model_best.pt
0,6,1.6066072703324608e-06,5.82757820666302e-07,0.012782345525920391,0.00030753228929825127,0.0003845317114610225,0.0004061977961100638,99.99999403953552,99.99982714653015,99.99999403953552,53.73106408119202,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_006/model_best.pt
0,7,2.2222925508685876e-06,0.013311566784977913,2.511314960429445e-07,0.0004274091625120491,0.00041811977280303836,0.00024320947704836726,96.33513689041138,92.58279204368591,92.69159436225891,40.070961713790894,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_007/model_best.pt
0,8,0.004229390528053045,2.852018496923847e-07,1.874927448852759e-07,0.0005523624713532627,0.00033872982021421194,0.00029190900386311114,99.9999463558197,100.0,100.0,63.65461349487305,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_008/model_best.pt
0,9,0.004194045905023813,1.250691354925948e-07,9.925783217568096e-08,0.0003480754094198346,0.0002302769134985283,0.00023115852673072368,99.99995231628418,100.0,100.0,63.62866282463074,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_009/model_best.pt
0,10,0.004585490562021732,5.194020502585772e-08,5.5048872127372306e-08,0.00024029419000726193,0.00013955938629806042,0.00014612766972277313,99.99999403953552,100.0,99.99999403953552,34.852625608444214,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_010/model_best.pt
0,11,7.846229976848917e-08,5.596992380674237e-08,7.525291948695667e-06,0.00017271820979658514,0.00016090419376268983,0.00017109114560298622,100.0,99.99999403953552,100.0,59.63744497299194,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_011/model_best.pt
0,12,3.922876601336611e-08,8.231538231484592e-06,4.08894322845299e-08,0.0001310029037995264,0.00013895088341087103,0.00013351585948839784,99.99999403953552,100.0,100.0,30.102667570114136,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_012/model_best.pt
0,13,2.09036807063967e-06,4.516316209901561e-08,3.749994803570189e-08,0.0001300511066801846,0.00013274935190565884,0.00012746827269438654,100.0,100.0,99.99999403953552,30.71658730506897,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_013/model_best.pt
0,14,2.069525407932815e-06,5.9276150210507694e-08,7.718450234506236e-08,0.00018765822460409254,0.00018764461856335402,0.00018054936663247645,100.0,100.0,100.0,51.46168518066406,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_014/model_best.pt
0,15,2.052751597148017e-06,7.891466680121084e-08,5.1498613373723856e-08,0.00011648204963421449,0.00013644776481669396,0.0001098969005397521,100.0,100.0,100.0,36.695865869522095,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_001_mlp_40_sliding/trial_20251028_180216/fold_015/model_best.pt
