Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.2883293581613581,,0.37061775106115563,83.80349843920195,,79.06979872736812,46.53207560958027,,48.03137954295181,3.885780586188048e-16,0.9999999999999983,0.7116706418386418,0.0038553269256880116,0.9217815039000349,0.6339565318007855,True
LASSO,0.30272637907998917,,0.37584695525532036,83.7213849576792,,78.82169124359312,46.307855934538324,,48.83047397946339,0.004310655460573142,1.1577079300699356,0.7104576218425693,0.009021178139402982,1.0580719762809212,0.6264076095626631,True
NN,0.2856700381251283,,0.3709210424390613,83.93943254300959,,79.2990723355351,46.43959301734209,,49.190047257653184,0.001131871234399097,1.0121254145344651,0.7144338944578387,0.011970933706817805,0.9132224935106743,0.6351877292069944,True
