Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.1834866091343492,,0.25830676572641953,87.38838421225506,,83.10376580459494,46.0604173918159,,47.14628177499755,3.95516952522712e-16,1.000000000000001,0.8165133908656508,0.0020171375680425475,0.9522145187350748,0.7435659574642564,True,,,,,,,,,,,,,,,
LASSO,0.197898904104021,,0.2680920070204632,87.23841926453935,,82.86038897998965,46.059534956687145,,48.67171234627946,0.003970949230978661,1.1420542112037393,0.8147058866647237,0.007764811831352253,1.0801130766255764,0.7363129100759105,True,,,,,,,,,,,,,,,
NN,0.18155457003307335,,0.2600749786965139,87.30818066388537,,83.1337553659207,43.94419088052319,,45.37266835966712,-0.01542120129201336,0.9891426402074279,0.8190497816281191,-0.008632094829569916,0.9355357107926187,0.7439531872671133,True,,,,,,,,,,,,,,,
