Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,normalized
OLS,0.5220471394435232,0.5143164796300392,0.4674543317234256,75.82129503152724,76.13641339363346,72.68649633360378,False
NN,,,,,,,False
