Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.27834813904041916,,0.3656163625309732,84.19009613640486,,79.38948173808733,46.2234717939416,,47.74530403840202,-4.683753385137379e-16,0.999999999999998,0.7216518609595808,0.004705939368887333,0.9230933091243563,0.6388307434284911,True,,,,,,,,,,,,,,,
LASSO,0.29226901621108664,,0.37131767633380147,84.08817487903285,,79.12245929782134,46.076742441698,,48.93911926810091,0.004257392159150095,1.1523012382618698,0.7203143512480368,0.010072498022185841,1.0540560550372384,0.6308087276493417,True,,,,,,,,,,,,,,,
NN,0.27469774301902783,,0.3698110372175045,84.30760708105167,,79.51943650383232,48.42857913237017,,50.957262952703,0.018408905869267477,1.0147348459884702,0.7261363066964743,0.026517485189790278,0.9258485184729343,0.6365760099631432,True,,,,,,,,,,,,,,,
