Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std
OLS,0.8055684332383843,0.8272326794497923,0.8158151528471689,65.03811387217091,65.72695734937302,66.48230853310555,False,0.04898738263504512,0.069280812668479,0.05558335725921631,1.9157857782576733,3.1864419066325507,2.9150442845774225
NN,0.7142832143356564,0.946811046269387,0.9472072479488883,68.17218325871035,62.77869774258371,63.390916829347326,False,0.018735395193248083,0.06761316334947678,0.08595890426697546,0.758453966901958,0.9099396886627348,3.2921143160746547
