fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,OLS_train_us,OLS_val_us,OLS_test_us,OLS_alpha_train,OLS_beta_train,OLS_r2_train,OLS_alpha,OLS_beta,OLS_r2_test,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,NN_alpha_train,NN_beta_train,NN_r2_train,NN_alpha,NN_beta,NN_r2_test,NN_train_us,NN_val_us,NN_test_us,normalized
0,0.468755592331171,,0.5719553657385623,76.25841804033438,,85.59342333451504,49.89189701554516,,47.30523431287068,1.1102230246251565e-16,1.0,0.5312444076688291,-0.058763653133899904,0.9636893521577474,0.43001559509419895,1.0000000000000002,,0.7535312068548055,0.4679048963821862,,0.5725524727756419,76.28143788253561,,85.52635361074648,0.0019858846295389768,0.9872841154020338,0.5321874318634978,-0.0529738711786129,0.9438703425207792,0.4291090494657781,50.08102081715926,,48.73669384587377,True
1,0.44401960451026046,,0.6334437254858123,77.33584129791656,,80.65356199000753,49.672513097231516,,48.17126101969559,1.8041124150158794e-16,1.000000000000001,0.5559803954897395,-0.04397661564568372,0.9421219821018806,0.36819618512234575,1.0,,0.6849461339047422,0.45716668605852345,,0.6452147832251015,76.99937600165202,,80.55518046258608,0.10556870063699143,1.0212449005282345,0.5537588463333991,0.0554406707329604,0.9643701506696003,0.3640934717658115,56.179828243332416,,54.06547194197419,True
2,0.46743337398570134,,0.5562772315831407,76.77720764525309,,78.27040029486221,49.41719509735822,,48.13625738367976,0.0,1.0,0.5325666260142986,-0.019990322994773893,0.9849783101534659,0.4441240732971782,1.0000000000000002,,0.7835023837933354,0.4692500900659989,,0.5563836218058853,76.80633668690761,,78.39940251602829,0.043651469192543924,1.0066542501452385,0.5326535275008704,0.031084374032699418,1.0139862124968257,0.44457173892243695,52.10871854623675,,50.874402273542906,True
3,0.5745775031730644,,0.59168953357088,73.83016222080667,,73.88675096206707,49.230762304989526,,51.68896218923707,-5.898059818321144e-17,0.9999999999999992,0.42542249682693545,0.05578149426246379,1.0357537721936843,0.4124578069354353,1.0000000000000002,,1.064009326395391,0.5743101545756869,,0.5926796600985109,73.88125716060692,,73.88675096206707,0.0007299982005297169,1.0085435551260704,0.42572091945181145,0.059069595652223965,1.0422171502941548,0.41217366596826444,49.296037778743155,,51.96689267607354,True
4,0.5836416123084534,,0.5436443135005998,73.40940028867135,,84.99992169514353,49.03468388662011,,53.97553756283965,-1.5612511283791264e-16,1.0000000000000004,0.41635838769154665,0.04813062684308156,1.0490742168528198,0.4653142762513316,1.0,,0.9712764674076951,0.5786604406860407,,0.5426139376311703,73.53275827079926,,85.03124363773041,-0.029623614024041938,1.0140313139353854,0.42227385152045915,0.030379652288807898,1.0465827823418796,0.46319604948632065,47.484386436550444,,52.7665105789861,True
5,0.4977996725053635,,0.4663978857362046,76.27405774826242,,81.92914295776973,48.814633297566914,,46.21226295688924,4.163336342344337e-16,1.0000000000000013,0.5022003274946365,-0.03398927574982293,0.9825454365616038,0.5362153729019516,0.9999999999999999,,0.851936858367922,0.491246783437592,,0.46832728176872357,76.39924020531856,,81.95885933149165,-0.006583040793126681,1.0020366043562259,0.5087984788107774,-0.05758422316402302,0.9994552542608648,0.535615301228544,48.4347359568483,,45.456146336631484,True
6,0.35161481484883056,,0.5393015089490312,80.21299872736608,,77.55086364989295,48.678693429190204,,47.02019183685226,1.5959455978986625e-16,1.0000000000000004,0.6483851851511695,-0.03513600880928471,0.9633458497841024,0.46244158644373456,0.9999999999999999,,0.6234905618245943,0.35166087226934667,,0.5429118075029251,80.16410279309652,,77.54414263905292,-0.03587488384805305,0.9970801377959215,0.6496392548830443,-0.058155523730989,0.9916816443152929,0.4622056539937187,46.11109870727187,,44.737928584459105,True
7,0.36170812768174415,,0.4782530238693967,79.94685929984561,,79.12572593067422,48.7968606384023,,49.3738100477416,-2.5673907444456745e-16,1.0000000000000002,0.6382918723182559,-0.0038004113125323334,0.9649460564042205,0.5225131409581344,0.9999999999999999,,0.7048905719855867,0.36167459862839263,,0.47491506357926433,80.04702795798717,,79.28645918045177,-0.002270019563885034,1.039853047148335,0.6392691610874064,-0.0019579620827727753,1.0019957398838901,0.5250964110120908,48.75848868027235,,48.70600166473723,True
8,0.35521842095182,,0.5331790171540866,80.10735480429419,,85.64580508393652,48.9331199573248,,46.82683676782338,-3.469446951953614e-18,0.9999999999999991,0.6447815790481799,-0.0652432014233059,0.9444808022282639,0.4695955036560473,1.0000000000000004,,0.6432544857331339,0.35067493404911576,,0.5311362923846987,80.38229868195862,,85.78904146215694,0.008688230180124198,1.0409683550972066,0.6504021312698032,-0.01750306995321348,1.029643874771023,0.4714406534445419,49.60814385099242,,46.12975306048395,True
9,0.432884577559174,,0.6682350313098003,78.08827693614612,,80.94047550625515,48.85251486620416,,47.220146751729025,2.8102520310824275e-16,1.0000000000000007,0.5671154224408261,-0.05441031111693062,0.9262921170171867,0.33418989123661336,1.0,,0.6755227427142713,0.42948516863893327,,0.6665695082517593,78.23339940535183,,80.95771787650631,0.01617971485639034,1.0169649715015536,0.5709268352850767,-0.01669628211266588,0.9714179794277705,0.3337203663007987,49.98451437066402,,48.227867501963715,True
10,0.5284081478725133,,0.5903010204517765,75.40425263877766,,77.70502146045827,48.63606914362329,,47.548536960740265,8.239936510889834e-17,1.0,0.47159185212748667,-0.007613099731261414,1.0171473330707927,0.4100458732910811,0.9999999999999999,,0.9217555100545135,0.5257214276765146,,0.5905508890436042,75.47691463228082,,77.85414535756277,0.017203868067848703,1.0092061983874079,0.4746086646571712,0.009947480970167498,1.040257309794844,0.41011210056487735,49.74714526099828,,48.161283230253034,True
11,0.5298638602961226,,0.6006693525843576,74.9374561857344,,72.03420351296008,48.5611003231897,,48.23683154461171,-6.071532165918825e-17,1.0000000000000009,0.47013613970387735,0.004934642429625789,0.9903139180431925,0.3993991867076542,0.9999999999999999,,0.9383274740998284,0.5204193398718525,,0.6016701563894354,75.16165084313765,,72.13710216807466,-0.031277399592608,1.0234694896466412,0.48076739297847926,-0.009099824105764688,1.0227728084244108,0.3986277088673279,46.92544239809894,,47.40541041128593,True
12,0.6032401641477897,,0.5964001267694239,71.9696952272743,,72.34887737478411,48.44416640025024,,46.42690236716448,-1.8041124150158794e-16,0.9999999999999993,0.3967598358522102,-0.03060685123155029,0.9683855385726807,0.40509109116872,0.9999999999999998,,1.0580505422311195,0.5993778950059439,,0.5969956020522954,72.0817051264654,,72.40881844965966,-0.008336426285267533,0.9967468165614217,0.40069632375662134,-0.035473175913359974,0.9595553947447956,0.40519061578054905,47.99336680596987,,46.17494666260286,True
13,0.6008662187333064,,0.5907126600445012,71.67068251346888,,74.72050821921752,48.2876248747868,,46.94790177243372,1.457167719820518e-16,0.9999999999999996,0.39913378126669374,-0.009392190893498097,1.0098875780523433,0.40945559966971645,1.0000000000000002,,1.0540244845977653,0.6010012754646383,,0.59353655105532,71.55359124996615,,74.58711986718743,-0.048760791154415124,1.0231890020286567,0.4014760016324689,-0.060802047873094775,1.0396694344484125,0.41140850914728877,45.72334876501431,,43.90587964340207,True
