Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.17316279873422022,,0.24028542361485672,87.63343605577259,,83.32855992295907,48.092122190600215,,49.01363401333608,1.700029006457271e-16,1.0000000000000049,0.8268372012657798,0.0011580774564585346,0.9460214503875836,0.7621960552918456,True
LASSO,0.1876091492049887,,0.2493096624918796,87.54033770738442,,83.0754089915674,47.83914608780706,,50.29745714983191,0.005338412038380348,1.143391689674708,0.8253718327338047,0.0077062093652995375,1.0743290923056743,0.7545863172734404,True
NN,0.1700845922197654,,0.2376623719605676,87.70399635463008,,83.43870076099054,46.541563305894854,,48.39046368716158,-0.009568040950774598,1.009176101084227,0.8302000979385272,-0.0028605176416044917,0.9497517783818609,0.7645436116791373,True
