Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.4470898395055774,,0.575162623288809,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-1.5959455978986625e-16,0.9999999999999992,0.5529101604944227,-0.0016089462437427534,0.9638471531305485,0.42546014269818055,True
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-1.5959455978986625e-16,1.0942220014798103,0.5520026770579524,0.0008428121084364188,1.0504439436396018,0.42385252109215454,True
NN,0.4439809057957724,,0.5733019101875202,77.634925860306,,73.03481794279341,48.500964457829745,,48.46023778539116,-0.00430395115492865,1.028655165850721,0.5564684245120349,-0.001906014298596959,0.9973917115119603,0.42670732291927205,True
