Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.44708983950557746,,0.5751626232888088,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-2.185751579730777e-16,1.0000000000000013,0.5529101604944227,-0.0016089462437426025,0.9638471531305495,0.42546014269818055,True,,,,,,,,,,,,,,,
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-2.185751579730777e-16,1.0942220014798099,0.5520026770579524,0.0008428121084364526,1.0504439436396016,0.42385252109215465,True,,,,,,,,,,,,,,,
NN,0.44461375071968245,,0.5759661757675227,77.64549167265542,,73.07199957506705,49.56453135382984,,49.400224860347556,0.011134800328802003,0.9669801154090643,0.5561673623072187,0.015552307915352118,0.9375415656629085,0.42614747283168775,True,,,,,,,,,,,,,,,
