Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.25639311556885064,,0.34691554145257486,84.81235878869771,,79.99684796020742,46.26624465447139,,47.52564876282438,5.724587470723463e-16,0.9999999999999991,0.7436068844311494,0.002508418549115125,0.9240294287701545,0.6575298463532968,True,,,,,,,,,,,,,,,
LASSO,0.2695973564513516,,0.35262199745630735,84.70714948386734,,79.71105020584358,46.1068395839606,,48.602916021203235,0.00495121015825967,1.1444991022541418,0.7422341575440106,0.00851289230985017,1.0472615779877155,0.6490118985608626,True,,,,,,,,,,,,,,,
NN,0.24845606915757038,,0.3475763253012217,85.04098952557898,,80.25689124309531,46.070219500194604,,48.710162253170296,-0.0014675961485280248,1.0019653140262363,0.7515517472045676,0.010013757339940175,0.9166089257187924,0.6581241933750469,True,,,,,,,,,,,,,,,
