fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,1.6910695146332862e-06,3.976673451017073e-07,2.3487375807558547e-07,99.99279029367537,99.9927215381816,100.0,2.05696983357484e-06,4.830998250326957e-07,3.108799262463436e-07,99.99279379844666,99.99271631240843,100.0,False
1,1.2056637395044098e-06,2.1738846160340202e-07,2.3272997102024953e-07,99.99244308267268,100.0,99.99603740687905,1.4739181324330275e-06,4.714458441412717e-07,5.073468400951242e-07,99.99244213104248,100.0,99.99603629112244,False
2,8.113165103589101e-07,1.8049783576006221e-07,1.0410550587330997e-07,99.99553738470148,99.99656868351823,100.0,1.0158676104765618e-06,3.9760604408911604e-07,3.116667244285054e-07,99.99622106552124,99.99656677246094,100.0,False
3,1.4685756026548733e-07,8.800832775589277e-08,4.0801494999659696e-07,99.99644872491467,100.0,100.0,2.212411942537074e-07,1.6601852337316816e-07,4.683045915498951e-07,99.9964475631714,100.0,100.0,False
4,1.0229793522092308e-07,2.775508708419513e-07,1.0297993978216946e-05,99.99894370660395,100.0,100.0,1.6082896081570652e-07,3.227863487609284e-07,1.0364186891820282e-05,99.99894499778748,100.0,100.0,False
5,1.727442904461594e-07,9.265032812431505e-06,2.4706645029840805e-07,99.99898509785348,100.0,99.99837022067211,1.953230963636088e-07,9.395346751261968e-06,2.835987515936722e-07,99.99898672103882,100.0,99.99837279319765,False
6,7.226089860173027e-06,1.3692209234462995e-06,0.07669268567583547,99.63108877976984,99.90222638665391,99.36160057276958,7.737882697256282e-06,1.6011972547858022e-06,0.0766919180750846,100.0,99.99898672103882,100.0,False
7,8.846160164042691e-06,0.07986768129805574,2.7396933495300606e-07,99.91640435854814,99.8715904148458,99.95331417485399,9.150600817520171e-06,0.0798684954643249,3.822397900421493e-07,56.61997199058533,32.793113589286804,38.61229121685028,False
8,0.02537194716058454,5.969942146358089e-07,5.496759825464805e-07,99.91284930164338,99.99656715222392,99.9973860309494,0.0253725629299879,4.428611362072843e-07,3.786716717968375e-07,99.99967217445374,100.0,100.0,False
9,0.025162623945109704,4.990764836392284e-07,4.87818380724615e-07,98.53444478882889,99.79956204886979,99.88208811233787,0.0251630377024412,1.6678373526701765e-07,9.593264849172557e-08,99.99967217445374,100.0,100.0,False
10,0.027511999093852255,6.590060026732049e-07,6.564553147896798e-07,89.55041790480404,96.46279978197676,96.1146317935944,0.0275127030909061,9.414283397291001e-08,8.359373993016561e-08,99.99999403953552,100.0,100.0,False
11,1.062167777526982e-07,4.758181388816152e-08,4.4845439661733414e-05,100.0,100.0,100.0,1.2718940922695765e-07,6.712155453669767e-08,4.48559112555813e-05,100.0,100.0,100.0,False
12,6.053812377820229e-08,4.9215622242060987e-05,5.98111558621475e-08,100.0,100.0,100.0,7.030574522559618e-08,4.922839434584603e-05,6.885435510639581e-08,100.0,100.0,100.0,False
13,1.2354335956773843e-05,6.395821341479049e-08,4.914885152768287e-08,99.99965529603176,100.0,100.0,1.2363685527816417e-05,7.169381888161297e-08,5.516309187214574e-08,100.0,100.0,100.0,False
14,1.2083802426819687e-05,5.323513869476355e-08,1.1961395144593377e-07,99.99966360434489,100.0,100.0,1.2105700989195611e-05,6.141708297491277e-08,1.4360955447045853e-07,100.0,100.0,100.0,False
15,1.2045593127339787e-05,1.1947320827185132e-07,7.453718417585511e-08,100.0,100.0,100.0,1.206126034958288e-05,1.3458777914365785e-07,8.225174497056288e-08,100.0,100.0,99.99999403953552,False
16,8.108493725986637e-08,7.414638024968927e-08,3.571046574982602e-07,100.0,100.0,100.0,1.0523132942807933e-07,9.322958050006493e-08,4.931625880999491e-07,100.0,99.99999403953552,100.0,False
17,7.009416203396155e-08,3.2709178970658867e-07,1.410497041130407e-07,100.0,100.0,100.0,8.138592733075711e-08,3.930688592390652e-07,1.5585735013701196e-07,100.0,100.0,100.0,False
18,3.7556947954032945e-07,3.2620149799393946e-07,2.5413085760757583e-07,99.91709699651408,99.97449083710869,99.98541537025514,5.317601221577206e-07,3.732465927441808e-07,2.9079498631290335e-07,100.0,99.99999403953552,100.0,False
19,4.4865427499376836e-07,2.574642757400653e-07,1.2419611843456601e-06,99.92601187173149,99.9863235840025,99.9504822819415,6.111596349001047e-07,3.1075009587766544e-07,1.269137101189699e-06,100.0,100.0,99.9989688396454,False
20,4.780519481477844e-07,1.3446747283006758e-06,8.592660026500611e-07,99.99169449012474,99.97981836528758,99.98536103351103,6.263131808736944e-07,1.4044362615095451e-06,8.972517662186874e-07,99.99999403953552,99.99887943267822,100.0,False
