Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.44708983950557746,,0.5751626232888088,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-2.3592239273284576e-16,1.0000000000000013,0.5529101604944227,-0.0016089462437426337,0.9638471531305495,0.42546014269818055,True
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-2.3592239273284576e-16,1.0942220014798094,0.5520026770579523,0.0008428121084364838,1.0504439436396011,0.42385252109215454,True
NN,0.4386890034008072,,0.5806606132792439,77.79031315845313,,72.84890978142512,48.88059147592173,,48.597278658628355,-9.921723893770162e-05,1.011777209951934,0.5613870699167045,0.0010321429012354992,0.9792019080789753,0.41952878357327916,True
