trial,fold,tr_loss,val_loss,test_loss,tr_mae,val_mae,test_mae,tr_directional_accuracy_pct,val_directional_accuracy_pct,test_directional_accuracy_pct,tr_undershooting_pct,val_undershooting_pct,test_undershooting_pct,seconds,model_path
-1,0,0.49325170831978005,nan,0.45522987706639134,0.549656273757505,nan,0.5270404204373426,77.03567624171737,nan,88.21393325604346,-0.0002497247648714363,nan,-0.0006568597871650113,919.8695344924927,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_000/model_best.pt
-1,1,0.4648734046945501,nan,0.44923637527248445,0.5331630082840411,nan,0.5227742502816713,78.15826214215491,nan,83.75643820289743,0.001219756582145198,nan,0.0005948507710657484,925.8613700866699,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_001/model_best.pt
-1,2,0.453568330275924,nan,0.4219486829284058,0.5259075052052407,nan,0.5044993659196804,77.56100293531112,nan,79.74568133541547,0.00043773434295108106,nan,5.4260972947583806e-05,926.2221088409424,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_002/model_best.pt
-1,3,0.571944483242099,nan,0.6276169402212965,0.5903926219731664,nan,0.6188082193344303,74.04129461522359,nan,73.68212082340725,-0.0002643529877409499,nan,0.0004520218384675376,922.5596866607666,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_003/model_best.pt
-1,4,0.6027562432999974,nan,0.552311334472131,0.6074309367293689,nan,0.5832133780421437,73.32229724029268,nan,86.12907772540053,-0.0004479822207797467,nan,0.000994655461777551,914.4406337738037,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_004/model_best.pt
-1,5,0.5563142785655038,nan,0.45178831685120624,0.5818908117333934,nan,0.5300881871116063,76.08797571750331,nan,84.30755346195754,-0.00015828368984405737,nan,-0.0012607507759533987,863.8684635162354,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_005/model_best.pt
-1,6,0.3438659064388714,nan,0.33175871167737725,0.4575357013623951,nan,0.4436798372600239,79.85599142646632,nan,76.43805628366506,-0.0012526944864884551,nan,-0.0016467351910979852,930.357565164566,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_006/model_best.pt
-1,7,0.3509284227038905,nan,0.3250535265602222,0.46096269815519003,nan,0.4466046647287088,80.98513309715244,nan,80.72923144631223,-0.0005616274394963993,nan,-0.0005805779871597222,931.540668964386,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_007/model_best.pt
-1,8,0.33606335184546626,nan,0.3281343015090924,0.4509416960432017,nan,0.4457071880266921,80.93218643728746,nan,87.53557036725807,-0.00010819720772414905,nan,-0.0009844753475664217,934.6195077896118,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_008/model_best.pt
-1,9,0.429968384690145,nan,0.4511211982573312,0.5102089743227353,nan,0.5226889508212278,78.80327056491576,nan,83.60346380060157,-0.00013401187928906415,nan,-0.0006204549552413548,939.1264495849609,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_024_lstm_40_search/trial_search_best/fold_009/model_best.pt
-1,10,0.5257351313237307,nan,0.5443344617794527,0.5637865011005804,nan,0.5763969835270669,75.47871431013849,nan,77.85510127998012,-3.82498307067013e-05,nan,-0.0003803754752859503,919.1789684295654,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_010/model_best.pt
-1,11,0.5204196243048274,nan,0.5645654782935444,0.5639412256692594,nan,0.5809770010251278,75.16299466725795,nan,72.13710216807466,-0.0007066934042685188,nan,-0.0006142926768362218,927.5859305858612,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_011/model_best.pt
-1,12,0.5993772074317493,nan,0.6316500510600698,0.6037609003926555,nan,0.6217052382593485,72.08170512646538,nan,72.40983440008128,-0.00046816276161247507,nan,-0.0008058334667363158,904.9598395824432,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_012/model_best.pt
-1,13,0.60098019214612,nan,0.6255688335346961,0.605665913504813,nan,0.6167706356286345,71.55629856241708,nan,74.5880794956193,-0.000992352613335717,nan,-0.0014681825365770772,916.0466856956482,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_013/model_best.pt
-1,14,0.5490390565095157,nan,0.5244697511399722,0.5773792807597176,nan,0.5671757914252588,73.56889485522257,nan,73.7498560847373,-0.0007721710213104441,nan,-7.036712668133006e-05,929.0359132289886,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_014/model_best.pt
-1,15,0.5492757957590177,nan,0.5217016411924599,0.575098547161307,nan,0.5608505359721029,74.01775693665063,nan,70.86292478045056,8.948263948956911e-05,nan,-2.560924429982707e-05,929.9107089042664,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_027_lstm_40_search_debug/trial_search_best/fold_015/model_best.pt
