fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,1.691069514633286e-06,3.976673451017073e-07,2.3487375807558547e-07,99.99279029367537,99.9927215381816,100.0,1.7040754257039708e-06,3.968262962799419e-07,2.336329897725239e-07,99.99279029367536,99.9927215381816,100.0,False
1,1.2056637395044098e-06,2.1738846160340202e-07,2.3272997102024956e-07,99.99244308267268,100.0,99.99603740687905,1.2201063354286194e-06,2.309143894244942e-07,2.448795069989816e-07,99.99244308267268,100.0,99.99603740687908,False
2,8.113165103589101e-07,1.8049783576006221e-07,1.0410550587330994e-07,99.99553738470148,99.99656868351823,100.0,8.163357412891858e-07,1.841920124372781e-07,1.078538471071009e-07,99.99622394090125,99.99656868351823,100.0,False
3,1.4685756026548733e-07,8.800832775589277e-08,4.0801494999659696e-07,99.99644872491467,100.0,100.0,1.7351638095343233e-07,1.1414079778599155e-07,4.400379445128335e-07,99.99644872491469,100.0,100.0,False
4,1.0229793522092308e-07,2.775508708419513e-07,1.0297993978216946e-05,99.99894370660395,100.0,100.0,1.155641961237485e-07,3.063943226468518e-07,1.041170019270981e-05,99.99894370660397,100.0,100.0,False
5,1.7274429044615938e-07,9.265032812431505e-06,2.4706645029840805e-07,99.99898509785348,100.0,99.99837022067211,1.927416866073719e-07,9.419835502437003e-06,2.945499124124925e-07,99.99898509785348,100.0,99.99837022067211,False
6,7.226089860173027e-06,1.3692209234462995e-06,0.07669268567583547,99.63108877976984,99.90222638665391,99.36160057276958,7.217099004634176e-06,1.4329249512069762e-06,0.076692664819066,100.0,99.99898152486098,100.0,False
7,8.84616016404269e-06,0.07986768129805574,2.7396933495300596e-07,99.91640435854814,99.8715904148458,99.95331417485399,8.540553707152333e-06,0.0798674676177925,2.8157041145693945e-07,99.9996784783021,100.0,100.0,False
8,0.02537194716058454,5.969942146358111e-07,5.49675982546483e-07,99.91284930164338,99.99656715222392,99.9973860309494,0.0253725358429221,4.622603154538509e-07,4.0724457348823874e-07,99.99967112944016,100.0,100.0,False
9,0.025162623945109704,4.990764836392312e-07,4.878183807246181e-07,98.53444478882889,99.79956204886979,99.88208811233787,0.0251629274042099,1.6881086337105204e-07,1.087550815454667e-07,99.99967374104828,100.0,100.0,False
10,0.027511999093852255,6.590060026732076e-07,6.564553147896826e-07,89.55041790480404,96.46279978197676,96.1146317935944,0.0275125472276136,8.066405433010533e-08,7.073372171679894e-08,100.0,100.0,100.0,False
11,1.0621677775269823e-07,4.7581813888161504e-08,4.4845439661733414e-05,100.0,100.0,100.0,1.274421696887102e-07,6.770117561621078e-08,4.485606737557263e-05,100.0,100.0,100.0,False
12,6.053812377820229e-08,4.9215622242060987e-05,5.98111558621475e-08,100.0,100.0,100.0,6.90879367295387e-08,4.922173598022708e-05,6.694447607771677e-08,100.0,100.0,100.0,False
13,1.2354335956773843e-05,6.395821341479049e-08,4.914885152768286e-08,99.99965529603176,100.0,100.0,1.2363707860089365e-05,7.179391013436554e-08,5.738550107846789e-08,100.0,100.0,100.0,False
14,1.2083802426819687e-05,5.323513869476355e-08,1.1961395144593377e-07,99.99966360434489,100.0,100.0,1.2100498067537518e-05,6.314757106261819e-08,1.3507999873728774e-07,100.0,100.0,100.0,False
15,1.2045593127339787e-05,1.1947320827185135e-07,7.453718417585511e-08,100.0,100.0,100.0,1.206184386716186e-05,1.37565097471887e-07,8.210415072962897e-08,100.0,100.0,100.0,False
16,8.108493725986637e-08,7.414638024968927e-08,3.5710465749826014e-07,100.0,100.0,100.0,9.80741207566676e-08,8.624265408404307e-08,4.7050260088043685e-07,100.0,100.0,100.0,False
17,7.009416203396155e-08,3.270917897065887e-07,1.410497041130407e-07,100.0,100.0,100.0,8.154431173061721e-08,3.85420500405151e-07,1.5472455849382366e-07,100.0,100.0,100.0,False
18,3.7556947954032945e-07,3.262014979939394e-07,2.5413085760757583e-07,99.91709699651408,99.97449083710869,99.98541537025514,3.484192829859371e-07,3.255752726481106e-07,2.436640620665114e-07,99.9973364496872,100.0,100.0,False
19,4.4865427499376836e-07,2.574642757400653e-07,1.2419611843456601e-06,99.92601187173149,99.9863235840025,99.9504822819415,4.481953285107972e-07,2.82008291866389e-07,1.2721972487098943e-06,100.0,100.0,99.99896838087378,False
20,4.780519481477844e-07,1.3446747283006758e-06,8.592660026500611e-07,99.99169449012474,99.97981836528758,99.98536103351103,4.5546443638589596e-07,1.348225195862916e-06,8.502536177201223e-07,100.0,99.99887879807152,100.0,False
