Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.2875570068531623,,0.3802185119629605,82.91045507588012,,77.91735746766282,46.93965725331587,,48.41748137959122,2.8449465006019636e-16,0.999999999999999,0.7124429931468377,0.007409490988218383,0.9039039626906271,0.6268665170447147,True,,,,,,,,,,,,,,,
LASSO,0.30010322815615187,,0.37952929274127506,82.78859240569784,,77.68009974429957,46.36340628351041,,48.895262722104924,-0.0039130159211852415,1.1474876798734244,0.7116534322336463,0.005104591455431722,1.030269824983824,0.6211951938104715,True,,,,,,,,,,,,,,,
NN,0.28371473402795594,,0.38971118326686016,83.0386083760958,,78.04165361909281,44.9663012412047,,47.772178794346544,-0.014176280646340769,0.9750429992305589,0.7172629155629866,0.004181648359284827,0.8618400503409991,0.6265970534884684,True,,,,,,,,,,,,,,,
