==================== Running GPU test ====================
TF: 2.16.1
Visible GPUs: [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Built with CUDA?: True
OrderedDict({'cpu_compiler': '/usr/lib/llvm-17/bin/clang', 'cuda_compute_capabilities': ['sm_50', 'sm_60', 'sm_70', 'sm_80', 'compute_90'], 'cuda_version': '12.3', 'cudnn_version': '8', 'is_cuda_build': True, 'is_rocm_build': False, 'is_tensorrt_build': True})
libcuda.so.1 is loadable ✅




===== Processing Fold 6 =====


--- Tuning hyperparameters for Fold 6 ---


Fold: 6 | n_neurons: 16 | learning_rate: 0.01
Epoch 008 | loss=0.000963475439 | val_loss=nan | duration=7.32s | end_time=1760191436.39s
Epoch 009 | loss=0.000963475439 | val_loss=nan | duration=7.26s | end_time=1760191443.65s
Epoch 010 | loss=0.000963475439 | val_loss=nan | duration=6.97s | end_time=1760191450.62s
Epoch 011 | loss=0.000963475439 | val_loss=nan | duration=6.33s | end_time=1760191456.95s
Epoch 012 | loss=0.000963475439 | val_loss=nan | duration=6.10s | end_time=1760191463.06s
Epoch 013 | loss=0.000963475439 | val_loss=nan | duration=6.23s | end_time=1760191469.29s
Epoch 014 | loss=0.000963475439 | val_loss=nan | duration=7.20s | end_time=1760191476.49s
Epoch 015 | loss=0.000963475439 | val_loss=nan | duration=7.09s | end_time=1760191483.58s
Epoch 016 | loss=0.000963475439 | val_loss=nan | duration=6.43s | end_time=1760191490.01s
Epoch 017 | loss=0.000963475439 | val_loss=nan | duration=6.06s | end_time=1760191496.07s
Epoch 018 | loss=0.000963475439 | val_loss=nan | duration=6.03s | end_time=1760191502.10s
Epoch 019 | loss=0.000963475439 | val_loss=nan | duration=6.08s | end_time=1760191508.18s
Epoch 020 | loss=0.000963475439 | val_loss=nan | duration=6.19s | end_time=1760191514.36s
Epoch 021 | loss=0.000963475439 | val_loss=nan | duration=6.20s | end_time=1760191520.56s
Epoch 022 | loss=0.000963475439 | val_loss=nan | duration=6.30s | end_time=1760191526.86s
Epoch 023 | loss=0.000963475439 | val_loss=nan | duration=6.47s | end_time=1760191533.34s
Epoch 024 | loss=0.000963475439 | val_loss=nan | duration=6.84s | end_time=1760191540.18s
Epoch 025 | loss=0.000963475439 | val_loss=nan | duration=7.01s | end_time=1760191547.19s
Epoch 026 | loss=0.000963475439 | val_loss=nan | duration=6.91s | end_time=1760191554.10s
Epoch 027 | loss=0.000963475439 | val_loss=nan | duration=6.45s | end_time=1760191560.55s
Epoch 028 | loss=0.000963475439 | val_loss=nan | duration=6.23s | end_time=1760191566.79s
Epoch 029 | loss=0.000963475439 | val_loss=nan | duration=6.30s | end_time=1760191573.09s
Epoch 030 | loss=0.000963475439 | val_loss=nan | duration=6.30s | end_time=1760191579.39s
Epoch 031 | loss=0.000963475439 | val_loss=nan | duration=6.49s | end_time=1760191585.89s
Epoch 032 | loss=0.000963475439 | val_loss=nan | duration=6.26s | end_time=1760191592.15s
Epoch 033 | loss=0.000963475439 | val_loss=nan | duration=6.26s | end_time=1760191598.41s
Epoch 034 | loss=0.000963475439 | val_loss=nan | duration=6.25s | end_time=1760191604.65s
Epoch 035 | loss=0.000963475439 | val_loss=nan | duration=6.44s | end_time=1760191611.10s
Epoch 036 | loss=0.000963475439 | val_loss=nan | duration=6.27s | end_time=1760191617.37s
Epoch 037 | loss=0.000963475439 | val_loss=nan | duration=7.07s | end_time=1760191624.44s
Epoch 038 | loss=0.000963475439 | val_loss=nan | duration=6.70s | end_time=1760191631.15s
Epoch 039 | loss=0.000963475439 | val_loss=nan | duration=6.91s | end_time=1760191638.06s
