fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,0.5058878820094208,0.4595239745593956,0.4583295730313416,74.9413458226745,83.67200874333852,88.16890072722742,0.5030986381191096,0.461474084502354,0.463253079004239,75.06645510931608,83.68458212838394,88.16027747702861,False
1,0.4574462585775732,0.44501726014469156,0.4446742786807677,76.91650251279815,83.31937263510586,83.73232508343139,0.4570260513377017,0.4495840940948752,0.4475455117368452,77.00548220259856,83.35692209930389,83.71978626130905,False
2,0.451924633564261,0.454578354264639,0.42240821801164097,77.41194107336081,78.27079082989276,79.66808601441333,0.4532141650811337,0.4583680198459156,0.4246720855782432,77.40727454085695,78.26402250949982,79.77089981474117,False
3,0.5818881603148326,0.5402581665202609,0.6256460015174174,73.4236394150084,75.71027589511878,73.69739172927738,0.5821006702650128,0.5415310743693358,0.6319894653497928,73.5350357579337,75.84132852155034,73.59253150896912,False
4,0.5983471146484972,0.6525087595698587,0.56035760608457,72.84701942124288,74.55111073993653,86.1243794340125,0.5984167939189953,0.6464614951194417,0.5521669841444826,72.80996822933228,74.67116251879071,86.2026842904797,False
5,0.5733538540712556,0.5241299458752356,0.4474899987874536,73.90246528778182,85.89869630262876,84.27673648180148,0.5688806228164537,0.5283815652877252,0.4639517137809835,74.09978143889457,85.80465911519555,84.37248924157211,False
6,0.35870644732863716,0.28980275769662633,0.328776611071843,79.75123367198839,80.33465518908986,76.38908891897341,0.3464282367482068,0.290054211724668,0.3290840543611187,80.00928882438316,80.4565238417642,76.56959606724851,False
7,0.352877279859177,0.3451742672664669,0.3269568200242228,80.514038111125,81.88007105477939,80.54075257603735,0.3351343485255454,0.3479190629267694,0.3295823904674885,80.92496636142505,81.87430985645014,80.53788233943418,False
8,0.34304438941490134,0.3347102964989095,0.3289710850440543,80.87922716505564,80.12984777786278,87.47445617921736,0.331840851010789,0.331408895164042,0.3300910828119748,81.14448376316872,80.36124072515872,87.42098126468173,False
9,0.43578296953710904,0.4272810667584704,0.45380019162841506,78.03327837768627,80.83059753634701,83.56706324118245,0.4217244207416403,0.43220934382745,0.4560064691334736,78.36042272689345,80.77125546760593,83.50575703584497,False
10,0.5127204830763298,0.5270144294662686,0.5306210712917352,75.90882277845766,75.83661749260462,79.4448002600109,0.4981701998155831,0.5266773408528962,0.5332700988274357,76.1122018647485,75.83854462762933,79.45340356176693,False
11,0.5284965674446084,0.5492462596912184,0.5662820250474027,75.24421886446619,76.52314565200648,72.9942479651791,0.5162714782229499,0.5529212325083717,0.572272483100627,75.41350113681801,76.61461141492721,73.16403074611814,False
12,0.6000477165808199,0.6297179099807746,0.6348970925759939,72.26524119215834,70.50907719657383,72.30823935791933,0.5963282351946064,0.628673294002766,0.6347913718012839,72.40268095260375,70.65021817594139,72.42100985471909,False
13,0.6114148114822304,0.6257182203695165,0.6368264752896874,71.24133290424504,72.76751385137133,74.47100482693101,0.6091150475020559,0.6284129845079927,0.6432474616923604,71.33904800912788,72.71920657767612,74.38271901119886,False
14,0.5478866292186625,0.5636103860988797,0.5272973016510498,73.55642816601221,75.51238910981952,73.0916836166865,0.5407700499578197,0.566899954561576,0.5374607672671032,73.99659450255412,75.6060721933313,72.91706643128526,False
15,0.5451477950442356,0.5180784302657762,0.5143708869509666,73.8046062793967,73.3644725357989,70.48300878197786,0.5409589761941838,0.5267520678695876,0.5138223993227472,74.01692787429636,73.27047946059484,70.7369224894998,False
16,0.5731543866127576,0.5422201838338095,0.5916331724418231,73.76436144640745,70.33402419626934,83.78227729959556,0.5659570997312174,0.5408660613634951,0.5905688209187795,74.01481413244053,70.46801947269485,83.82375816654569,False
17,0.5915846079378665,0.6073035237930451,0.5270383038249898,73.14490098578034,82.03310341044664,72.40954352755595,0.5837493756032406,0.5920843200088193,0.5299374557835433,73.35659658611766,81.96590924673971,72.38588188898748,False
18,0.47281105191569245,0.4360725485926898,0.41923233539982513,75.74873673464135,73.31085241212075,73.88691069648198,0.4491041959639587,0.4352101616438543,0.4260088200753205,76.37214782277967,73.5145068247909,73.5906566016237,False
19,0.47495187396572286,0.42941276457183697,0.45240838772809905,75.47655566864006,73.35914682294293,73.25224193856134,0.4534726650935551,0.4392476650137347,0.4437338660621297,75.96164045813563,72.5495419215511,73.84754817782866,False
20,0.4999116061971749,0.4995773005116581,0.5439507830886543,74.30223239839725,78.3352413661515,79.15713196033562,0.4695002907633986,0.4961153836906286,0.5405795521721596,74.94991413852318,78.46594161419577,79.22387490465293,False
