Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.26659134796640793,,0.3514309761912124,84.76571968005715,,80.00757318017826,45.71996463397043,,47.134781463776555,-1.491862189340054e-16,1.0000000000000018,0.7334086520335921,0.003797670554950245,0.9314366640129764,0.652111021673148,True
LASSO,0.2788522631113298,,0.3573369621644392,84.66111316638815,,79.7277114964335,45.732427136067955,,48.30074367091649,0.004899004501066461,1.13971143450421,0.7321497976574816,0.009664599733278718,1.052078284767262,0.6446243962227275,True
NN,0.2617910540300193,,0.3560866868366333,84.98445131135942,,80.23053990623865,47.93760309776587,,50.23555665757501,0.01593615076212332,0.9869008178762076,0.7388935293637307,0.024678244698679193,0.909977562015015,0.6521402215887953,True
