Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.4470898395055774,,0.575162623288809,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-1.5959455978986625e-16,0.9999999999999992,0.5529101604944227,-0.0016089462437427534,0.9638471531305485,0.42546014269818055,True
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-1.5959455978986625e-16,1.0942220014798103,0.5520026770579524,0.0008428121084364188,1.0504439436396018,0.42385252109215454,True
NN,0.44738346400074147,,0.5761990870328184,77.52188913231977,,72.95354951796669,47.08051760255606,,47.124886020591546,-0.027473470062326765,1.0249892464622057,0.5536640620528306,-0.020827259270267795,0.9807846125665254,0.42470337412764025,True
