Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.44708983950557746,,0.5751626232888088,77.51398660324851,,72.99108526102391,48.72764915914471,,48.347807611611294,-2.185751579730777e-16,1.0000000000000013,0.5529101604944227,-0.0016089462437426025,0.9638471531305495,0.42546014269818055,True,,,,,,,,,,,,,,,
LASSO,0.4520902588962938,,0.5771468257224658,77.46844882523011,,72.96098584442142,48.731927876542414,,48.885524836445086,-2.185751579730777e-16,1.0942220014798099,0.5520026770579524,0.0008428121084364526,1.0504439436396016,0.42385252109215465,True,,,,,,,,,,,,,,,
NN,0.4400705744405686,,0.5757479912697387,77.76664923162095,,72.97373383262953,47.45717571469862,,47.54680901920166,-0.02221836637778502,1.0309255493447687,0.5608986447714104,-0.015348698746022273,0.9910323582704348,0.42466421039580626,True,,,,,,,,,,,,,,,
