Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.2417295313142734,,0.3308191153935078,84.54415871481828,,79.93023251349177,47.0768830695008,,48.3161922387991,4.0939474033052647e-16,0.999999999999998,0.7582704686857266,0.00652486753398456,0.9327602972660928,0.672680919725606,True
LASSO,0.25521983421390004,,0.33795393259964895,84.41452272414121,,79.6576132761729,46.50647500722896,,49.09584486045543,-0.002923528723192785,1.143932116634296,0.7567606244354906,0.005778359779822061,1.057913185856326,0.664372604478457,True
NN,0.2609243426624535,,0.348969017421125,84.53401877393074,,79.4026566936662,50.161074659074814,,54.367379380386396,0.03601708737960474,1.1539833807358448,0.7549772608232517,0.05199633824099158,1.0350894345160333,0.6613875255992293,True
