Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.2932316468794628,,0.38298228587470523,83.72877866075761,,78.81275940489945,46.23283541114123,,47.966573173568435,1.700029006457271e-16,0.9999999999999973,0.7067683531205371,0.0058403466838935075,0.9184637852688681,0.6219501188553657,True,,,,,,,,,,,,,,,
LASSO,0.3069762636245202,,0.3876772255411153,83.6392605193621,,78.58168599006883,46.085076551247425,,48.98045103531271,0.0042949214300740425,1.1536437865212517,0.7055380484302227,0.01116949361558153,1.0500777683386302,0.6142668302540519,True,,,,,,,,,,,,,,,
NN,0.29008798849985623,,0.3887001084102335,83.88114579299052,,78.97212700963703,49.000151974938845,,51.62856774853368,0.023700153006053215,1.01040742035873,0.7111494280084787,0.03178949624977856,0.9149538569394204,0.6200828132208694,True,,,,,,,,,,,,,,,
