fold,OLS_train,OLS_val,OLS_test,OLS_train_diracc,OLS_val_diracc,OLS_test_diracc,var_train,var_val,var_test,NN_train,NN_val,NN_test,NN_train_diracc,NN_val_diracc,NN_test_diracc,normalized
0,0.8145696642824396,0.6954419828449173,0.6797929745558872,67.54368850859834,67.0830593907517,68.96439426834564,1.0,0.7954836628545655,0.7898733812295498,0.8143834072699159,0.7226669187742237,0.6800285248563852,67.76108587195853,66.37080867850099,68.51932262266608,False
1,0.8666064748396469,0.9878217659256711,1.1641695551934947,64.18860003229453,63.04899720741305,65.96248766041461,1.0,1.1225280730434317,1.4420655495333066,0.8373431850919504,1.0315085649490356,1.2350497245788574,66.16179557564993,64.44529068291445,66.61401776900296,False
2,0.8856351724463388,1.5867708665338147,0.727523173365827,63.19660890163321,64.01734104046243,65.57377049180327,1.0,1.6121289638140357,0.839908217705211,0.8708319664001465,1.647297501564026,0.7765294909477234,63.433487096372026,63.4393063583815,62.14936247723133,False
3,0.7743709234795926,0.5329129744881541,0.6418166542343821,69.23328028726486,74.76487252124646,74.95787558131698,0.9999999999999996,0.6180104661635553,0.8396983637530218,0.6969445564336277,0.5558636099105742,0.7065221353378098,71.94407040165395,75.96222851746931,75.85765316438633,False
4,0.7722003949562248,0.7393902208163394,0.6379586801163943,69.29423050568727,72.29984570546888,70.93693864044626,1.0000000000000002,0.9583763344053402,0.7402368714647458,0.7218777804076059,0.7931120829845444,0.6677203660224531,69.57379745100727,72.26984399108521,70.98421102391983,False
5,0.7712105668189739,0.7041983193965593,0.7882095942341372,69.69481902058197,69.20455755510595,69.20245398773007,1.0000000000000002,0.8172932036912716,0.9517126584406551,0.6971073326766064,0.7265879894493614,0.8117926716804504,70.51167025991938,70.16292194654456,70.20157756354075,False
6,0.8681319520641533,0.9015285353526467,0.8534256136734761,63.37076418563052,66.4808362369338,63.75779162956366,1.0,1.0028568608738164,0.9284744897550243,0.8367042209511425,0.9295932054519652,0.8659377098083496,66.31223293252509,67.59581881533101,65.18254674977739,False
7,0.8782532123239228,0.6935836805638207,1.1615059593297923,62.886404209339474,63.56340288924559,64.35643564356435,1.0,0.6901139062904119,1.380041360095682,0.8703901638754393,0.7027503848075867,1.197555661201477,65.71455416705815,64.84751203852328,67.78370144706778,False
8,0.9028590380288696,1.0254462334480827,0.92423201885473,61.667488899851996,68.53233830845771,61.287693561532194,1.0,1.1858160806001026,1.0029269612362814,0.8584305644035339,1.1433764696121216,1.031047821044922,60.71369840486762,63.308457711442784,57.78321108394458,False
9,0.8527866639806098,0.9859695534552313,1.0267348457298866,64.12750673451063,61.693936477382096,60.85096268124555,1.0,1.0823923324239233,1.1757015304449405,0.8230201601982117,1.008375644683838,1.0350316762924194,64.87578569290632,61.35707410972088,60.2567149988115,False
10,0.8584379869099135,1.0511659134344036,0.906041656991162,65.21300900416611,63.1132954834336,61.00350058343057,1.0000000000000002,1.2415605857251903,1.0064431654211607,0.8180850571064743,1.1056608532295522,0.9557091603479418,67.8605026206155,62.13032793831032,61.86697782963827,False
