Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized
OLS,0.22563132325144047,,0.3055010920294433,86.28480097927525,,81.67217034625128,45.35376367236063,,46.58208042932545,4.40619762898109e-16,1.0000000000000018,0.7743686767485596,0.002007599363421656,0.9415065359962462,0.6971934843941475,True
LASSO,0.2394158232774045,,0.3137732727993479,86.16499081193825,,81.43036724086895,45.374018113257144,,47.87240176989109,0.006673971235690607,1.1431260844380877,0.7726973727793219,0.009824636378465916,1.0674517319986,0.6893441692062794,True
NN,0.21850893355881845,,0.3079251591702386,86.41392917026923,,81.86207612376936,43.894708294365195,,45.84494616132765,-0.01330419274238626,0.9833833846148974,0.78205737322891,-0.004107031595837803,0.9210903586505403,0.697315468614455,True
