Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.2740881285261855,,0.36789066916663,83.42318582387747,,78.72821205936957,47.10216014702429,,48.62068104893132,-3.642919299551295e-16,0.9999999999999973,0.7259118714738144,0.008992521606886307,0.9206574985720102,0.6368655411123405,True,,,,,,,,,,,,,,,
LASSO,0.28723215693345644,,0.37244269035594496,83.30378680701509,,78.45367296826674,46.549266528103644,,49.25096904619744,-0.0029835796098496674,1.1468885614106892,0.7246546329372856,0.007995424805008427,1.046801137276614,0.6292491670251128,True,,,,,,,,,,,,,,,
NN,0.30240004607216364,,0.40470116002862866,83.21286695427226,,77.70896168547803,53.92798992410085,,58.94181499137026,0.07762435305514917,1.1632616224575192,0.7221714679617464,0.09249798608876741,1.0216865522922065,0.6246731399746663,True,,,,,,,,,,,,,,,
