Model,Train MSE,Val MSE,Test MSE,Train DirAcc,Val DirAcc,Test DirAcc,Train US,Val US,Test US,Alpha Train,Beta Train,Calib R2 Train,Alpha,Beta,Calib R2 Test,normalized,Train MSE Std,Val MSE Std,Test MSE Std,Train DirAcc Std,Val DirAcc Std,Test DirAcc Std,Train US Std,Val US Std,Test US Std,Alpha Train Std,Beta Train Std,Calib R2 Train Std,Alpha Std,Beta Std,Calib R2 Test Std
OLS,0.3001569022831554,,0.39663822370957125,82.54707552460852,,77.84546328951588,47.07858114572599,,48.7139859428306,-1.3877787807814457e-17,0.999999999999999,0.6998430977168446,0.010307557824797677,0.9115295616896407,0.6091400217747431,True,,,,,,,,,,,,,,,
LASSO,0.31297859470832623,,0.3989840163424807,82.4262695303024,,77.59511435609065,46.51928335361322,,49.34907357455656,-0.0030237669717923174,1.1488670786800612,0.698753670311328,0.00910386435339602,1.038618554171826,0.6023234655474439,True,,,,,,,,,,,,,,,
NN,0.3404938509210935,,0.4590336987476547,81.9964136630124,,76.22779449117155,57.06477336019204,,62.619294914499314,0.11428400567778092,1.1524020482006505,0.6938118112595164,0.12676134229188352,0.9952702514825784,0.5960894405257258,True,,,,,,,,,,,,,,,
