trial,fold,tr_loss,val_loss,test_loss,tr_mae,val_mae,test_mae,tr_directional_accuracy_pct,val_directional_accuracy_pct,test_directional_accuracy_pct,seconds,model_path
0,0,2.05696983357484e-06,4.830998250326957e-07,3.1087992624634353e-07,0.0005038359668105841,0.0003514162090141326,0.00033518022974021733,99.99279379844666,99.99271631240845,100.0,72.74271869659424,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_000/model_best.pt
0,1,1.4739181324330275e-06,4.7144584414127166e-07,5.073468400951242e-07,0.0005629412480629981,0.000551354605704546,0.0005647002253681421,99.99244213104248,100.0,99.99603629112244,24.967475175857544,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_001/model_best.pt
0,2,1.0158676104765618e-06,3.9760604408911604e-07,3.116667244285054e-07,0.0004967616987414658,0.0005044761346653104,0.0004914687597192824,99.99622106552124,99.99656677246094,100.0,15.893488883972168,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_002/model_best.pt
0,3,2.2124119425370736e-07,1.6601852337316814e-07,4.683045915498951e-07,0.00032176554668694735,0.00032041381928138435,0.00032858882332220674,99.99644756317139,100.0,100.0,25.656352281570435,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_003/model_best.pt
0,4,1.6082896081570652e-07,3.227863487609284e-07,1.0364186891820282e-05,0.0002841113891918212,0.0002901263360399753,0.0003284542472101748,99.99894499778748,100.0,100.0,18.995612621307373,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_004/model_best.pt
0,5,1.9532309636360878e-07,9.395346751261968e-06,2.835987515936722e-07,0.00019211581093259156,0.0003114203573204577,0.00021228671539574862,99.99898672103882,100.0,99.99837279319763,38.59098744392395,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_005/model_best.pt
0,6,7.737882697256282e-06,1.6011972547858022e-06,0.07669191807508469,0.0005148199270479381,0.00046507566003128886,0.0015313440235331655,100.0,99.99898672103882,100.0,16.530563831329346,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_006/model_best.pt
0,7,9.150600817520171e-06,0.07986849546432495,3.8223979004214925e-07,0.0005615093978121877,0.0015235162572935224,0.00035928585566580296,56.61997199058533,32.793113589286804,38.61229121685028,16.337785482406616,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_007/model_best.pt
0,8,0.025372562929987907,4.428611362072843e-07,3.7867167179683747e-07,0.0010234212968498468,0.0004727781342808157,0.0004963938845321536,99.99967217445374,100.0,100.0,15.747525453567505,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_008/model_best.pt
0,9,0.025163037702441216,1.6678373526701762e-07,9.593264849172556e-08,0.0006418270641006529,0.0001567335712024942,0.00013193575432524085,99.99967217445374,100.0,100.0,25.91878056526184,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_009/model_best.pt
0,10,0.027512703090906143,9.414283397291001e-08,8.359373993016561e-08,0.0006124871433712542,0.00012256947229616344,0.00012176430027466267,99.99999403953552,100.0,100.0,15.539076089859009,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_010/model_best.pt
0,11,1.2718940922695765e-07,6.712155453669766e-08,4.4855911255581304e-05,0.00017354445299133658,0.00016935136227402836,0.0002134425303665921,100.0,100.0,100.0,45.57419776916504,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_011/model_best.pt
0,12,7.030574522559618e-08,4.922839434584603e-05,6.885435510639581e-08,0.00010246029705740511,0.00015081654419191182,0.00010694449883885682,100.0,100.0,100.0,23.04110026359558,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_012/model_best.pt
0,13,1.2363685527816415e-05,7.169381888161297e-08,5.516309187214574e-08,0.0001234100345754996,0.00011738243483705446,0.00011065477156080306,100.0,100.0,100.0,23.38117504119873,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_013/model_best.pt
0,14,1.2105700989195611e-05,6.141708297491277e-08,1.4360955447045853e-07,0.00013489858247339725,0.00010359034058637917,0.00014105922309681773,100.0,100.0,100.0,17.39237666130066,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_014/model_best.pt
0,15,1.206126034958288e-05,1.3458777914365783e-07,8.225174497056287e-08,0.00016250710177700967,0.00015330816677305847,0.00013878790196031332,100.0,100.0,99.99999403953552,16.105873823165894,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_015/model_best.pt
0,16,1.0523132942807933e-07,9.322958050006491e-08,4.931625880999491e-07,0.00012522323231678456,0.00012001678260276094,0.0003016686241608113,100.0,99.99999403953552,100.0,32.69044351577759,/orcd/home/002/corte911/code/finNN_code/src/volatility/experiments/exp_006_cnn_40/trial_20251029_184231/fold_016/model_best.pt
